"stimulus_id","utterance","mean"
"S1-121","a",0.11719225700265
"S1-121","ac",0.700244841073037
"S1-121","c",0.113432095398097
"S1-121","none",0.0691308065262157
"S10-203","a",0.495152062992968
"S10-203","ac",0.333599895640483
"S10-203","c",0.105528976599536
"S10-203","none",0.0657190647670132
"S12-203","a",0.557394139361039
"S12-203","ac",0.249862002199152
"S12-203","c",0.0976077590941031
"S12-203","none",0.0951360993457061
"S15-443","a",0.26147482421072
"S15-443","ac",0.529942661852714
"S15-443","c",0.130131492443735
"S15-443","none",0.078451021492831
"S20-468","a",0.201311568665507
"S20-468","ac",0.6168424928003
"S20-468","c",0.140531068989818
"S20-468","none",0.0413148695443746
"S22-468","a",0.265358099082717
"S22-468","ac",0.570503000896424
"S22-468","c",0.0867711959925928
"S22-468","none",0.0773677040282656
"S30-805","a",0.140793968812389
"S30-805","ac",0.179987891657263
"S30-805","c",0.111577691877501
"S30-805","none",0.567640447652847
"S30-805-dep","a",0.162767124811206
"S30-805-dep","ac",0.0581752035944841
"S30-805-dep","c",0.0875759968625181
"S30-805-dep","none",0.691481674731792
"S32-806","a",0.159526108093139
"S32-806","ac",0.205051535426909
"S32-806","c",0.160704374266102
"S32-806","none",0.47471798221385
"S34-806","a",0.103001234878725
"S34-806","ac",0.162436892024105
"S34-806","c",0.257992100507093
"S34-806","none",0.476569772590077
"S42-806","a",0.122459012252771
"S42-806","ac",0.166162538748836
"S42-806","c",0.0964761515762279
"S42-806","none",0.614902297422166
"S44-806","a",0.306762595146085
"S44-806","ac",0.135566089337535
"S44-806","c",0.079440990253467
"S44-806","none",0.478230325262914
"S54-806","a",0.0883541396199524
"S54-806","ac",0.116439243853198
"S54-806","c",0.197285895220327
"S54-806","none",0.597920721306523
"S55-1006","a",0.141405952411437
"S55-1006","ac",0.278454010968208
"S55-1006","c",0.356761474084213
"S55-1006","none",0.223378562536142
"S57-1007","a",0.0919594478185054
"S57-1007","ac",0.249740569530853
"S57-1007","c",0.505619719831338
"S57-1007","none",0.152680262819303
"S59-1007","a",0.0404483813016367
"S59-1007","ac",0.197202680694829
"S59-1007","c",0.576724406108188
"S59-1007","none",0.185624531895346
"S63-1039","a",0.13651554776598
"S63-1039","ac",0.279483276281249
"S63-1039","c",0.269129029101195
"S63-1039","none",0.314872146851576
"S7-130","a",0.0900848244173356
"S7-130","ac",0.74282762396015
"S7-130","c",0.0914015635604572
"S7-130","none",0.0756859880620567
"S7-130-dep","a",0.0915261334955875
"S7-130-dep","ac",0.711125981527953
"S7-130-dep","c",0.0849063304579293
"S7-130-dep","none",0.11244155451853
"S8-202","a",0.529670137329786
"S8-202","ac",0.20679195880472
"S8-202","c",0.0957749772736753
"S8-202","none",0.167762926591818
"S83-1609","a",0.144134855250345
"S83-1609","ac",0.505404250247514
"S83-1609","c",0.203237799668909
"S83-1609","none",0.147223094833232
"S89-1642","a",0.178110508435272
"S89-1642","ac",0.528623389075571
"S89-1642","c",0.138160896296569
"S89-1642","none",0.155105206192589
"S89-1642-dep","a",0.104029510836573
"S89-1642-dep","ac",0.410356348248912
"S89-1642-dep","c",0.096823116787916
"S89-1642-dep","none",0.388791024126599
"S93-1674","a",0.155654892530515
"S93-1674","ac",0.455711896623544
"S93-1674","c",0.21237439840326
"S93-1674","none",0.176258812442681
"S97-1674","a",0.178550678132934
"S97-1674","ac",0.464467480109366
"S97-1674","c",0.109265296716689
"S97-1674","none",0.24771654504101
